Ticker, Name, Price, Cap, 52 Week low - high, eps, pe 
NYSE AEG: AEGON N.V. Common Stock,3.91,8210000000,3.36 - 7.91,-0.37,
NYSE AFL: AFLAC Incorporated Common Stock,73.21,30310000000,51.41 - 74.14,6.07,12.05
NYSE ALL: Allstate Corporation (The) Comm,69.143,25880000000,54.120 - 70.380,4.097,16.876
NYSE AXP: American Express Company Common,64.18,59370000000,50.27 - 81.66,5.65,11.35
NYSE AIG: American International Group, I,54.61,61110000000,48.41 - 64.74,-0.37,
NYSE AMP: Ameriprise Financial, Inc. Comm,96.20,15950000000,76.00 - 127.32,8.49,11.33
NYSE AON: Aon plc Class A Ordinary Shares,110.31,29220000000,83.83 - 111.60,4.89,22.54
NYSE AV: Aviva plc Unsponsored ADR (UK),10.0699,20350000000,9.1100 - 16.7400,0.5900,17.0676
NYSE BBVA: Banco Bilbao Vizcaya Argentaria,5.68,40270000000,5.14 - 10.34,0.28,20.58
NYSE BBDO: Banco Bradesco Sa American Depo,8.6857,48050000000,4.1500 - 9.5600,1.0230,8.4904
NYSE BCH: Banco De Chile Banco De Chile A,66.58,10910000000,56.21 - 67.47,5.40,12.33
NYSE BSBR: Banco Santander Brasil SA Ameri,5.92,22260000000,2.96 - 6.09,0.81,7.27
NYSE SAN: Banco Santander, S.A. Sponsored,4.14,59580000000,3.60 - 7.12,0.43,9.61
NYSE BAC: Bank of America Corporation Com,14.35,150910000000,10.99 - 18.29,1.19,12.05
NYSE BMO: Bank Of Montreal Common Stock,64.14,41310000000,47.54 - 66.29,5.11,12.56
NYSE BK: Bank of New York Mellon Corpora,38.94,41580000000,32.20 - 45.45,2.79,13.97
NYSE BNS: Bank Nova Scotia Halifax Pfd 3,49.69,59770000000,35.01 - 53.17,4.27,11.63
NYSE BCS: Barclays PLC Common Stock,7.98,39680000000,6.76 - 18.05,-0.10,
NYSE BBT: BB&T Corporation Common Stock,36.79,29970000000,29.95 - 41.39,2.59,14.20
NYSE BLK: BlackRock, Inc. Common Stock,360.50,59290000000,275.00 - 369.33,18.77,19.21
